Hero name,winrate,pickrate,banrate
  Miya ,47.31%,0.38%,0.15%
  Balmond ,44.97%,0.34%,0.05%
  Saber ,48.15%,0.6%,1.46%
  Alice ,54.26%,0.17%,0.04%
  Nana ,44.53%,0.6%,0.41%
  Tigreal ,42.88%,0.33%,0.09%
  Alucard ,48.08%,0.35%,0.09%
  Karina ,49.6%,0.7%,0.32%
  Akai ,49.27%,0.95%,0.27%
  Franco ,45.48%,2.11%,3.83%
  Bane ,52.74%,0.43%,0.04%
  Bruno ,53.15%,2.58%,1.72%
  Clint ,49.69%,0.79%,0.05%
  Rafaela ,57.77%,2.35%,43.35%
  Eudora ,50.87%,0.53%,0.11%
  Zilong ,48.65%,0.76%,0.17%
  Fanny ,48.56%,1.26%,31.94%
  Layla ,49.51%,1.66%,0.77%
  Minotaur ,53.81%,0.89%,0.81%
  Lolita ,50.43%,0.76%,28.73%
  Hayabusa ,48.72%,0.91%,0.11%
  Freya ,54.07%,0.38%,0.09%
  Gord ,53.28%,1.15%,0.12%
  Natalia ,49.78%,0.21%,0.21%
  Kagura ,50.71%,0.64%,0.04%
  Chou ,44.76%,1.45%,0.29%
  Sun ,46.96%,0.3%,0.06%
  Alpha ,49.46%,1.2%,0.76%
  Ruby ,51.23%,0.71%,0.05%
  Yi Sun-shin ,52.77%,0.54%,0.06%
  Moskov ,49.15%,0.85%,0.06%
  Johnson ,45.22%,0.55%,1.07%
  Cyclops ,51.76%,0.69%,0.05%
  Estes ,48.76%,0.93%,19.63%
  Hilda ,48.82%,0.41%,0.1%
  Aurora ,48.54%,0.1%,0.02%
  Lapu-Lapu ,46.85%,0.74%,0.02%
  Vexana ,45.93%,0.48%,0.06%
  Roger ,48.16%,0.25%,0.02%
  Karrie ,42.86%,0.54%,0.03%
  Gatotkaca ,48.68%,0.32%,0.05%
  Harley ,52.55%,1.23%,6.61%
  Irithel ,54.9%,4.24%,3.22%
  Grock ,47.87%,0.24%,0.02%
  Argus ,52.12%,0.21%,0.03%
  Odette ,52%,0.48%,0.04%
  Lancelot ,47.09%,2.86%,0.65%
  Diggie ,53.06%,0.66%,6.12%
  Hylos ,50.88%,0.24%,0.03%
  Zhask ,51.59%,0.37%,0.05%
  Helcurt ,49.8%,0.39%,0.13%
  Pharsa ,46.84%,0.49%,0.02%
  Lesley ,44.77%,0.74%,0.55%
  Jawhead ,47.07%,0.4%,0.03%
  Angela ,56.22%,1.42%,78.83%
  Gusion ,47.86%,0.79%,0.07%
  Valir ,49.27%,1.51%,19.84%
  Martis ,49.45%,2.11%,8.26%
  Uranus ,49.73%,0.35%,0.24%
  Hanabi ,48.31%,1.43%,0.56%
  Chang'e ,46.71%,0.81%,1.43%
  Kaja ,48.37%,0.43%,0.4%
  Selena ,46.47%,0.5%,0.06%
  Aldous ,53.89%,0.75%,0.15%
  Claude ,46.61%,1.88%,0.13%
  Vale ,48.98%,0.39%,0.05%
  Leomord ,50.31%,0.32%,0.02%
  Lunox ,50.21%,0.32%,0.02%
  Hanzo ,49.71%,0.31%,0.26%
  Belerick ,48.76%,0.38%,0.14%
  Kimmy ,46.44%,0.11%,0.02%
  Thamuz ,47.76%,0.24%,0.01%
  Harith ,49.34%,0.2%,0.02%
  Minsitthar ,46.84%,0.34%,1.56%
  Kadita ,51.42%,1.24%,2.09%
  Faramis ,50.23%,0.55%,1.4%
  Badang ,49.44%,0.27%,0.02%
  Khufra ,48.17%,1.56%,2.45%
  Granger ,49.68%,0.73%,0.05%
  Guinevere ,46.2%,0.23%,0.01%
  Esmeralda ,45.53%,0.41%,0.04%
  Terizla ,55.33%,2.78%,5.41%
  X.Borg ,49.15%,1.54%,4.02%
  Ling ,48.49%,0.9%,0.17%
  Dyrroth ,48.98%,1.19%,0.09%
  Lylia ,51.06%,0.88%,0.08%
  Baxia ,54.98%,0.69%,2.12%
  Masha ,45.79%,0.04%,0.01%
  Wanwan ,48%,0.38%,0.05%
  Silvanna ,46.3%,0.14%,0.02%
  Cecilion ,50.07%,0.85%,0.06%
  Carmilla ,49.33%,0.15%,0.13%
  Atlas ,46.69%,0.56%,2.28%
  Popol and Kupa ,50.8%,0.32%,0.03%
  Yu Zhong ,50.52%,2.02%,0.26%
  Luo Yi ,52.66%,0.53%,0.08%
  Benedetta ,52.06%,0.94%,0.33%
  Khaleed ,52.23%,0.4%,0.03%
  Barats ,48.82%,0.1%,0.02%
  Brody ,50.5%,1.96%,0.38%
  Yve ,47.18%,0.12%,0.02%
  Mathilda ,55.22%,0.55%,94.77%
  Paquito ,45.81%,0.92%,0.07%
  Gloo ,51.31%,0.12%,0.06%
  Beatrix ,43.4%,0.91%,0.05%
  Phoveus ,52.95%,0.16%,0.09%
  Natan ,47.02%,0.24%,0.03%
  Aulus ,51.89%,0.17%,0.02%
  Aamon ,51.7%,0.4%,0.08%
  Valentina ,48.33%,1.2%,0.78%
  Edith ,53.88%,1.87%,4.78%
  Floryn ,51.86%,1.04%,67.76%
  Yin ,49.33%,0.6%,1.22%
  Melissa ,49.78%,0.42%,0.16%
  Xavier ,52.43%,1.12%,0.06%
